Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Dust,Dust_feed_group,Flow_group,max_time,RUL,pressure_rate,normalized_time,rolling_pressure_mean,pressure_ratio,rate_ratio_interaction,cumulative_pressure,pressure_acceleration,rolling_pressure_std,remaining_pressure_capacity,pressure_growth_rate
1,0.0,0.0,0.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.8,0.0,0.0022271714922049,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.7,0.0,0.0044543429844098,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.6,0.0,0.0066815144766146995,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.5,0.0,0.0089086859688196,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.4,0.0,0.011135857461024499,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.3,0.0,0.013363028953229399,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.2,0.0,0.015590200445434297,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.1,0.0,0.0178173719376392,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,0.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.0,0.0,0.0200445434298441,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.9,0.0,0.022271714922048998,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.8,0.0,0.0244988864142539,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.7,0.0,0.026726057906458798,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.6,0.0,0.0289532293986637,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.5,0.0,0.031180400890868595,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.4,0.0,0.0334075723830735,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.3,0.0,0.0356347438752784,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.2,0.0,0.0378619153674833,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.1,0.0,0.0400890868596882,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,1.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.0,0.0,0.042316258351893093,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.9,0.0,0.044543429844097995,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.8,0.0,0.0467706013363029,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.7,0.0,0.0489977728285078,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.6,0.0,0.051224944320712694,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.5,0.0,0.053452115812917596,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.4,0.0,0.0556792873051225,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.3,0.0,0.0579064587973274,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.2,0.0,0.0601336302895323,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.1,0.0,0.06236080178173719,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,2.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,42.0,0.0,0.0645879732739421,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.9,0.0,0.066815144766147,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.8,0.0,0.0690423162583519,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.7,0.0,0.0712694877505568,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.6,0.0,0.07349665924276169,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.5,0.0,0.0757238307349666,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.4,0.0,0.0779510022271715,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.3,0.0,0.0801781737193764,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.2,0.0,0.0824053452115813,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,0.0,3.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.1,0.0,0.08463251670378619,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,9.69897039167947,3.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,41.0,0.0,0.08685968819599109,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,25.1668466277442,4.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.9,0.0,0.08908685968819599,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,30.098737006604,4.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.8,0.0,0.09131403118040089,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,33.0000529718712,4.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.7,0.0,0.0935412026726058,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,37.6540820873195,4.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.6,0.0,0.0957683741648107,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,40.3778037965887,4.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.5,0.0,0.0979955456570156,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,43.1268192754309,4.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.4,0.0,0.1002227171492205,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,35.0923181872858,4.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.3,0.0,0.10244988864142539,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,45.4984905083996,4.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.2,0.0,0.1046770601336303,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,47.0131074065094,4.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.1,0.0,0.10690423162583519,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
